1,Rockey Cattel,Lanot,10000
2,Rossie Whiteland,Xinsheng,10500
3,Victor Eul,Köneürgench,11000
4,Chick Feckey,Olesno,11500
5,Benjy Richardon,Yabuli,12000
6,Donnie Patching,Momignies,12500
7,Cathe Paffitt,Saint-Malo,13000
8,Alexina Basford,Monaragala,13500
9,Esma Troy,Stalís,14000
10,Aguie Andreaccio,Delgerhaan,14500
11,Gavan Philbrook,Shahrak,15000
12,Charil Reah,Páno Polemídia,15500
13,Yves Fishpoole,Mkiriwadjumoi,16000
14,Cory Yard,Velká Bystřice,16500
15,Elana Letten,Khoyniki,17000
16,Ludovico Bloomer,Jindong,17500
17,Arty Marians,Tiglauigan,18000
18,Valera Vollam,Mesker-Yurt,18500
19,Bambi Colecrough,Liuhao,19000
20,Benn Shirlaw,Tirana,19500
21,Earvin Phelit,Perdões,20000
22,Petr Kilgallen,Huangwei,20500
23,Alexandro Quarlis,Mucumpiz,21000
24,Betteanne Aylott,Rana,21500
25,Karolina Haylor,Dongsheng,22000
26,Georgeta D'Agostini,Masu,22500
27,Allegra Lubeck,Asquipata,23000
28,Nikola Waszczyk,Plácido de Castro,23500
29,Alistair Jindracek,Boden,24000
30,Malanie Windibank,Teutônia,24500
31,Romona Ben,Oral,25000
32,Corilla Adamovitch,Kista,25500
33,Perla Waterworth,Rodópoli,26000
34,Felice Duns,Napu,26500
35,Frederico Clough,Zbýšov,27000
36,Fayina Fold,San Antonio Huista,27500
37,Betty Barrett,Petoa,28000
38,Kylie Tune,Kabac,28500
39,Prinz Rubi,Tapan,29000
40,Pasquale Halpine,Piła,29500
41,Carmine Kastel,Pajoreja,30000
42,Nils Everal,Duyun,30500
43,Cherilynn Crosbie,Menlou,31000
44,Gage Jaggar,Pridraga,31500
45,Esta Fillgate,Lianran,32000
46,Angelia Holywell,Sélibabi,32500
47,Aleksandr Welton,Zaozerne,33000
48,Oliy Klimpke,Guayatá,33500
49,Justis Ettery,Songon,34000
50,Elise Gribbin,Arosbaya,34500
51,Jenda Arnaut,Geneng,35000
52,Ricki Reekie,Virginia,35500
53,Ulrikaumeko Kunkel,Khudoyelanskoye,36000
54,Bat Gooddie,Caujul,36500
55,Gwenore Trewman,Hamada,37000
56,Cris Carlaw,Pérama,37500
57,Madlen Whewell,Shishang,38000
58,Jilli Hamlet,Eg-Uur,38500
59,Marco Farra,Kangani,39000
60,Viva Grinyer,Sentul,39500
61,Jillana Kilpatrick,Miskolc,40000
62,Letizia Ludvigsen,Sallins,40500
63,Ira Landsman,Tambir,41000
64,Marcelline Dolohunty,Non Sung,41500
65,Antons Farrand,Astana,42000
66,Barbette Milroy,Sedinginan,42500
67,Stesha Haynes,Marsabit,43000
68,Jodi Ekins,Cansolungon,43500
69,Orsola Isacke,Ourozinho,44000
70,Sashenka Dominka,Wentugaole,44500
71,Valeria Morrallee,Caijiazha,45000
72,Chad Woodings,Huangjia,45500
73,Mile Skacel,Ciénaga de Oro,46000
74,Loydie Simchenko,Wuyang,46500
75,Dame Doldon,Wewit,47000
76,Clementine Stobo,Yangji,47500
77,Elane Murphy,Khoa,48000
78,Englebert Dalley,Mtubatuba,48500
79,Tedman McMullen,Banjar Tengahbelayu,49000
80,Keefe Purselow,Paseyan,49500
81,Ninetta Espinoza,Pañgobilian,50000
82,Vanya Rasmus,Fratar,50500
83,Selle Gower,Jalālābād,51000
84,Aile Kermott,Itapecerica,51500
85,Philippa Cronkshaw,Donetsk,52000
86,Holly Snyder,Na Kae,52500
87,Kath Stoppard,Nashville,53000
88,Benn Hehir,Mungui,53500
89,Rolando Dutch,Conceição do Jacuípe,54000
90,Trish Kelson,North York,54500
91,Chanda Piatek,Xinji,55000
92,Broddy Wragg,Masaran,55500
93,Sullivan Durban,Yeoju,56000
94,Vevay Bellows,Iwade,56500
95,Lottie Arbor,Seremban,57000
96,Kipp McQuode,Brinkmann,57500
97,Krystalle Entwisle,Tabuc Pontevedra,58000
98,Ricard Withers,Morelos,58500
99,Aarika Riddock,Shelopugino,59000
100,Staci Gurdon,Barili,59500
101,Reg Lugsdin,Monywa,60000
102,Leroy Jeness,Briteiros Santa Leocádia,60500
103,Kenyon Santo,Lokea,61000
104,Mureil Gisburne,Tāybād,61500
105,Kile Winders,Xaysetha,62000
106,Shelby Cullivan,Valence,62500
107,Abbye Robotham,Kraskino,63000
108,Kip Broddle,Sviadnov,63500
109,Nels Harty,Wysoka,64000
110,Bill Meas,Kifrī,64500
111,Cathleen Camings,Turba,65000
112,Emelda Gapp,Al Mukallā,65500
113,Clarisse Ostler,Infanta,66000
114,Michel Clue,Yandian,66500
115,Deloria Denton,Gorzkowice,67000
116,Adlai Bubbins,Vũ Thư,67500
117,Danell Mingaud,Armen,68000
118,Giffer Benini,Bridgewater,68500
119,Tammy Marty,Néa Mákri,69000
120,Ranee Spofforth,Karlskrona,69500
121,Jacquette Harder,Yinglan,70000
122,Andrew Lisciandro,Pedome,70500
123,Sileas Savidge,Youxi,71000
124,Alleyn de Pinna,Sainte-Anne-des-Monts,71500
125,Matthaeus Markovich,Tifni,72000
126,Gretta Burdytt,Paris 12,72500
127,Obidiah Greenless,Vista Hermosa,73000
128,Bertrando Riba,Banjar,73500
129,Nickey Thunder,Longos,74000
130,Abie Ledford,Ansermanuevo,74500
131,Belva Whitter,Miaofengshan,75000
132,Kincaid Offield,Kedungwringin,75500
133,Kevina Boeck,Pizarrete,76000
134,Ermentrude McGinnis,Sila Lat,76500
135,Gabriellia Tomowicz,Segodim,77000
136,Nady Reddoch,Pruzhany,77500
137,Maxy Edgeworth,Sison,78000
138,Reube Browse,Tatarka,78500
139,Inigo Falconbridge,Saint-Jean-de-Luz,79000
140,Si Sante,Puutura,79500
141,Helenka Barnbrook,Ḩawallī,80000
142,Coral Medwell,Santa Quitéria do Maranhão,80500
143,Damara Bassick,Halteu,81000
144,Tuck Dashkovich,Mabusag,81500
145,Laural Cassam,Gongnong,82000
146,Dory Stiell,Cimanglid,82500
147,Jacqueline Jovicic,Daiyue,83000
148,Noach MacCumeskey,Guocun,83500
149,Toby Cashin,Bergamo,84000
150,Silvia Roylance,Toshloq,84500
151,Shelby Challicum,Nevers,85000
152,Allard Treasure,Eyvān,85500
153,Vassili Hoppner,Xiaoxiang,86000
154,Umberto Hallibone,Mungui,86500
155,Colas Bottjer,Krajan Kinanti,87000
156,Anthia Feld,Krouna,87500
157,Kippar Servant,Pohrebyshche,88000
158,Betsy Treace,Arevshat,88500
159,Gabriel Luckings,Joliette,89000
160,Stefan Chorley,København,89500
161,Renell Rabbage,Labrador City,90000
162,Guglielma Golsthorp,Alpūrai,90500
163,Aldric Veldens,Tangkolo,91000
164,Marv Latus,Cergy-Pontoise,91500
165,Rozalin Elliker,As Sawdā,92000
166,Rona Laughton,Tuusula,92500
167,Sandye Wooton,Manzil Bū Zalafah,93000
168,Anastassia Moulsdall,Paris 16,93500
169,Doralia Adamovitz,Bamnet Narong,94000
170,Gal Demsey,Trzciana,94500
171,Rasia Warry,Sumenep,95000
172,Almeda Shapero,Troyes,95500
173,Anatollo Mellenby,Dafengdui,96000
174,Eric Perigeaux,Corredoura,96500
175,Melamie Koomar,Rābigh,97000
176,Livy Olrenshaw,Baizhong,97500
177,Maryl Janko,Hongwei,98000
178,Dodi Fairham,Tangub,98500
179,Euell Gibbe,Pontevedra,99000
180,Cicely Danielkiewicz,Babat,99500
181,Layney Warde,Uummannaq,100000
182,Eli Lornsen,Puteaux,100500
183,Elihu Heibel,Oesao,101000
184,Fawn Alasdair,Baranusa,101500
185,Lelah Ong,Anaheim,102000
186,Tomaso Gollard,Praia,102500
187,Alyosha Passe,Ampanihy,103000
188,Candis Fairlam,Labytnangi,103500
189,Decca Ewer,Lagnieu,104000
190,Dougy Treffrey,Qinā,104500
191,Almire Silliman,Viana do Castelo,105000
192,Warden Shelford,Rūdiškės,105500
193,Raimondo Clarey,Russeifa,106000
194,Dniren Piggen,Kastsyukovichy,106500
195,Flem Chalcot,Alabug,107000
196,Farleigh Gemnett,Castlebellingham,107500
197,Jameson Sheldon,Prigrevica,108000
198,Nessi Awin,Lutoryż,108500
199,Guthrie Durham,Quaraí,109000
200,Mitzi Gilvary,Nirgua,109500
201,Rasla Chesshyre,Umbuldamar,110000
202,Reggie Spadazzi,Sępólno Krajeńskie,110500
203,Winnie Bangham,Cala,111000
204,Layton Maliffe,Tayturka,111500
205,Hasheem Dooney,Lanhe,112000
206,Hillery Philipps,Manalongon,112500
207,Jenni Tarbard,Kristiansand S,113000
208,Shantee Taye,Haczów,113500
209,Sigismondo Stainland,Posse,114000
210,Miner Scouller,Phùng,114500
211,Burtie Rye,Karney Shomron,115000
212,Kordula Abramino,Kemang,115500
213,Miof mela Dumberrill,Sidowayah Lor,116000
214,Rodina Enderwick,Zhangqiang,116500
215,Elwood Jestico,Fengcheng,117000
216,Dolli Malinson,Charlotte,117500
217,Holmes Morratt,Huicungo,118000
218,Keven Dows,Boguchar,118500
219,Emili Vaines,Bo Kluea,119000
220,Ana Bladen,Pulupandan,119500
221,Meta Huston,Quebrada de Arena,120000
222,Rainer Mangin,Ndom,120500
223,Emalia Delacroix,Banaran,121000
224,Margie Saffran,Toyohashi,121500
225,Francene Santer,Dogarmo,122000
226,Meridel Dictus,Huangtan,122500
227,Ogden Abden,Sungai,123000
228,Leonore Tottman,Guagua,123500
229,Kylila Mounce,Shahrīār,124000
230,Blythe Lomath,Chandal Bā’ī,124500
231,Hurlee Belsham,Oussivo,125000
232,Olav Rowthorne,Tefé,125500
233,Fayina Willmont,Semanding,126000
234,Hinda Farmer,Santiago,126500
235,Bonnie Hallatt,Barrinha,127000
236,Kylie Battey,Miaoya,127500
237,Clementine Grishmanov,Tsuyama,128000
238,Marji Rogeon,Nanling,128500
239,Guglielmo Bunston,Balitai,129000
240,Corly MacConnell,Gjirokastër,129500
241,Terrel Rennard,Bethel Town,130000
242,Norrie Wederell,Ipoh,130500
243,Myrtice Bamsey,Pilar,131000
244,Alberto Rosi,Chiconi,131500
245,Benjy Nuccitelli,Novhorodka,132000
246,Wang Duplan,Rotterdam,132500
247,Marcille Bendixen,Burgersfort,133000
248,Vaughn Hazel,Ampanihy,133500
249,Bendicty Tweedy,Campo Quijano,134000
250,Lilly Heinish,Tumba,134500
251,Rozina Cathrall,Tawala,135000
252,Angil Ricciardiello,Río Tercero,135500
253,Thia Lewnden,Rominimbang,136000
254,Cristy Cockshott,Núi Sập,136500
255,Cordy Maslin,Yanguan,137000
256,Charmane Trussman,Kokas,137500
257,Malinde Nowick,Hongsipu,138000
258,Drusy Hanniger,Zhendong,138500
259,Conroy Hardeman,Chikeng,139000
260,Baron Deelay,Mercedes,139500
261,Tabbi Kobes,Yantak,140000
262,Sarge Parkey,Musanze,140500
263,Darsey Barhims,Mufushan,141000
264,Earle Flower,Harar,141500
265,Maynord Maddern,Medvezh’yegorsk,142000
266,Filmore Pownall,Wilcza,142500
267,Alena Ceresa,Dmitriyevka,143000
268,Grover Murden,Wanmao,143500
269,Rahal Eccott,Anxiang,144000
270,Erinna Radford,Hà Tĩnh,144500
271,Norton Gherardi,Heyu,145000
272,Hunfredo Mayston,Karangtawar,145500
273,Oates Thunnercliff,Dzüünkharaa,146000
274,Weider Riden,Paipa,146500
275,Carrissa Bridges,Trélazé,147000
276,Roanna Shergill,Amu Gulang Baolige,147500
277,Geno Charopen,Stapleford,148000
278,Kore Buchett,Jingkou,148500
279,Daffie de Courcey,Bontang,149000
